"","Year","Month","N","min","mean","max"
"1","17","December",2976,31.842,36.7895,47.019
"2","17","November",1470,37.225,43.6323,50.576
"3","18","April",2880,34.468,48.1079,64.503
"4","18","August",2976,53.559,62.8041,71.577
"5","18","December",2976,33.681,38.3995,43.488
"6","18","February",2688,31.892,36.3091,45.082
"7","18","January",2976,31.842,37.1562,44.627
"8","18","July",2976,55.906,66.4206,75.376
"9","18","June",2880,53.121,63.785,75.029
"10","18","March",2976,31.942,44.0571,55.299
"11","18","May",2976,46.751,58.5625,71.834
"12","18","November",2880,35.541,41.7909,47.334
"13","18","October",2976,39.502,48.5696,57.592
"14","18","September",2880,49.161,59.1304,66.344
"15","19","February",983,32.542,35.8993,42.156
"16","19","January",2976,33.089,37.8986,41.601
