Row Labels,Min of Temp,Average of Temp,Max of Temp2
2017,,,
Nov,37.225,43.63229456,50.576
Dec,31.842,36.78952789,47.019
2018,,,
Jan,31.842,37.15615255,44.627
Feb,31.892,36.30913653,45.082
Mar,31.942,44.05710786,55.299
Apr,34.468,48.10791562,64.503
May,46.751,58.56253091,71.834
Jun,53.121,63.7849566,75.029
Jul,55.906,66.42057527,75.376
Aug,53.559,62.80407997,71.577
Sep,49.161,59.13041215,66.344
Oct,39.502,48.56956989,57.592
Nov,35.541,41.79088229,47.334
Dec,33.681,38.39945397,43.488
2019,,,
Jan,33.089,37.89860685,41.601
Feb,32.542,35.89930214,42.156
Grand Total,31.842,48.14292275,75.376
