	Min Daily	Max Daily	Mean Daily	Flux Daily	Median
10-Jul	83.779	113.054	102.2010417	29.275	105.005
11-Jul	68.614	127.931	97.39479167	59.317	98.0395
12-Jul	74.206	131.731	102.4929479	57.525	103.974
13-Jul	68.913	100.357	79.0024375	31.444	78.405
14-Jul	67.586	80.625	73.72761458	13.039	73.2125
15-Jul					
16-Jul					
17-Jul					
18-Jul					
19-Jul					
20-Jul					
21-Jul					
22-Jul					
23-Jul					
24-Jul					
25-Jul					
26-Jul					
27-Jul					
28-Jul					
29-Jul					
30-Jul					
31-Jul					
1-Aug					
2-Aug					
3-Aug					
4-Aug					
5-Aug					
6-Aug					
7-Aug					
8-Aug					
9-Aug					
10-Aug					
11-Aug					
12-Aug					
13-Aug					
14-Aug					
15-Aug					
16-Aug					
17-Aug					
18-Aug					
19-Aug					
20-Aug					
21-Aug					
22-Aug					
23-Aug					
24-Aug					
25-Aug					
26-Aug					
27-Aug					
28-Aug					
29-Aug					
30-Aug					
31-Aug					
1-Sep					
2-Sep					
3-Sep					
4-Sep					
5-Sep					
6-Sep					
7-Sep					
8-Sep					
9-Sep					
10-Sep					
11-Sep					
12-Sep					
13-Sep					
14-Sep					
15-Sep					
16-Sep					
17-Sep					
18-Sep					
19-Sep					
20-Sep					
21-Sep					
22-Sep					
23-Sep					
24-Sep					
25-Sep					
26-Sep					
27-Sep					
28-Sep					
29-Sep					
30-Sep					
1-Oct					
2-Oct					
3-Oct					
4-Oct					
5-Oct					
6-Oct					
7-Oct					
8-Oct					
9-Oct					
10-Oct					
11-Oct					
12-Oct					
13-Oct					
14-Oct					
15-Oct					
16-Oct					
17-Oct					
18-Oct					
19-Oct					
20-Oct					
21-Oct					
22-Oct					
